iid,pid,gender,wave,dec,dec_o,match,score_cb,contrib_Ambition,contrib_Attractiveness,contrib_Dating attitude,contrib_Demographics fit,contrib_Familiarity,contrib_Fun,contrib_Intelligence,contrib_Shared interests,contrib_Sincerity,split_tag,split_kind,score_cb_rev
1,11.0,0,1,1,0,0,0.2943088951166418,-0.044202338620005915,0.09830847819475984,-0.5884861383993731,0.04281138831562312,0.0,-0.07411907164214762,0.0204740865738737,0.06501652148345363,0.0518607417328949,wave1,lowo,0.4126938135832759
1,12.0,0,1,1,0,0,0.4922428240386113,-0.04355369531254767,0.23062973503870574,-0.5884861383993731,0.17927112090217578,0.5994403773033707,0.08081103010265699,-0.22522367359600423,0.13043070999216863,0.0518607417328949,wave1,lowo,0.5803313869936405
1,13.0,0,1,1,1,1,0.49199573779994826,-0.044526660273735086,-0.4309765491810238,-0.5884861383993731,0.3928100196312433,0.9031428384816134,0.0033459792302546823,0.0204740865738737,0.07104609134427314,0.08736194979356368,wave1,lowo,0.5110834846474077
1,14.0,0,1,1,1,1,0.37259357141953753,-0.04355369531254767,0.23062973503870574,-0.5884861383993731,0.15197917438486527,0.0,0.08081103010265699,-0.10237479351106527,0.14423901004843653,0.0518607417328949,wave1,lowo,0.4712171459905776
1,15.0,0,1,1,1,1,0.2692137154583316,-0.04355369531254767,-0.03401277864918609,-0.5884861383993731,0.12468722786755473,0.0,-0.07411907164214762,-0.10237479351106527,0.07809319013858339,0.08736194979356368,wave1,lowo,0.3651708424294232
1,16.0,0,1,0,1,0,0.28230375195290397,-0.044040177793141344,-0.16633403549313203,-0.5884861383993731,0.0973952813502442,0.0,0.0033459792302546823,0.0204740865738737,0.0856810513151217,0.10511255382389806,wave1,lowo,0.3061321248687743
1,17.0,0,1,1,0,0,0.24976196341283546,-0.04436449944687043,-0.03401277864918609,-0.5884861383993731,-0.0390644512363085,0.0,-0.15158412251454992,0.0204740865738737,0.09600513497664771,0.08736194979356368,wave1,lowo,0.3804457823758966
1,18.0,0,1,0,0,0,0.24243759863821865,-0.04355369531254767,-0.16633403549313203,-0.5884861383993731,0.04281138831562312,0.0,-0.15158412251454992,0.0204740865738737,0.12391101255639478,0.06961134576322929,wave1,lowo,0.2428208976208703
1,19.0,0,1,1,1,1,0.3586326834723375,-0.04339153448568314,0.3629509918826516,-0.5884861383993731,0.015519441798312564,0.0,0.1582760809750593,-0.22522367359600423,0.0801500488352983,0.10511255382389806,wave1,lowo,0.5705954687113599
1,20.0,0,1,1,0,0,0.2718118874561266,-0.04339153448568314,-0.03401277864918609,-0.5884861383993731,0.12468722786755473,0.0,0.1582760809750593,-0.22522367359600423,-0.018448906418172664,0.08736194979356368,wave1,lowo,0.4879789027541493
